,solar_erf
1761.7499999999884,0.06353165677183738
1761.8333333333217,0.06169078763121238
1761.916666666655,0.05984991849058738
1761.9999999999882,0.05800904934996238
1762.0833333333214,0.05616818020933738
1762.1666666666547,0.05432731106871238
1762.249999999988,0.05248644192808738
1762.3333333333212,0.05064557278746238
1762.4166666666545,0.04880470364683738
1762.4999999999877,0.04696383450621238
1762.583333333321,0.044185630160673915
1762.6666666666542,0.0414074258149611
1762.7499999999875,0.0386292214692483
1762.8333333333208,0.03585101712356454
1762.916666666654,0.033072812777851734
1762.9999999999873,0.03029460843216798
1763.0833333333205,0.027516404086455167
1763.1666666666538,0.024738199740742355
1763.249999999987,0.021959995395058603
1763.3333333333203,0.01918179104934579
1763.4166666666536,0.01640358670366204
1763.4999999999868,0.01362538235794923
1763.58333333332,0.01056246731893516
